2019-08-26	SÅLT	TEVA	23	7,55	1 666,71	SEK	9,65	71 563,79	632123766 	
	2019-08-19	SÅLT	TEVA	25	6,75	1 617,55	SEK	9,64	34 765,14	631590387 	
	2019-08-19	SÅLT	RAD	50	5,80	2 786,26	SEK	9,64	33 147,59	631590265 	
	2019-08-19	SÅLT	TEVA	25	6,65	1 593,46	SEK	9,64	30 361,33	631590134 	
	2019-08-19	KÖPT	MQ	750	2,26	-1 699,00	SEK	1,00	28 767,87	631573858 	
	2019-08-19	KÖPT	MQ	750	2,28	-1 714,00	SEK	1,00	30 466,87	631572131 	
	2019-08-19	KÖPT	MQ	750	2,3050	-1 733,00	SEK	1,00	32 180,87	631541409 	
	2019-08-19	KÖPT	MQ	750	2,31	-1 737,00	SEK	1,00	33 913,87	631540893 	
	2019-08-16	KÖPT	QHC	200	1,0172	-1 977,06	SEK	9,67	35 650,87	631469550 	
	2019-08-16	SÅLT	TEVA	25	6,43	1 538,33	SEK	9,63	37 627,93	631469481 	
	2019-08-16	SÅLT	FTR	210	0,8102	1 628,71	SEK	9,63	36 089,60	631469328 	
	2019-08-16	SÅLT	FTR	240	0,8103	1 862,91	SEK	9,63	34 460,89	631469327 	
	2019-08-16	SÅLT	FTR	200	0,81	1 550,36	SEK	9,63	32 597,98	631469326 	
	2019-08-16	SÅLT	FTR	250	0,7950	1 905,09	SEK	9,63	31 047,62	631469325 	
	2019-08-16	SÅLT	TEVA	35	6,38	2 141,53	SEK	9,63	29 142,53	631469232 	
	2019-08-16	SÅLT	FTR	250	0,78	1 869,82	SEK	9,63	27 001,00	631469117 	
	2019-08-16	SÅLT	FTR	250	0,77	1 845,73	SEK	9,63	25 131,18	631469116 	
	2019-08-16	SÅLT	FTR	250	0,76	1 822,68	SEK	9,64	23 285,45	631468853 	
	2019-08-16	SÅLT	FTR	250	0,7550	1 810,63	SEK	9,64	21 462,77	631468852 	
	2019-08-16	SÅLT	FTR	250	0,7395	1 773,32	SEK	9,64	19 652,14	631468677 	
	2019-08-16	SÅLT	QHC	100	1,09	1 043,92	SEK	9,66	17 878,82	631466954 	
	2019-08-16	SÅLT	GE	30	8,49	2 451,35	SEK	9,66	16 834,90	631466092 	
	2019-08-16	KÖPT	MQ	750	2,25	-1 692,00	SEK	1,00	14 383,55	631410996 	
	2019-08-16	KÖPT	MQ	750	2,26	-1 699,00	SEK	1,00	16 075,55	631410995 	
	2019-08-15	KÖPT	QHC	200	1,06	-2 058,66	SEK	9,67	17 774,55	631345967 	
	2019-08-15	KÖPT	GE	30	7,76	-2 260,55	SEK	9,67	19 833,21	631345301 	
	2019-08-15	KÖPT	TEVA	30	6,1150	-1 783,26	SEK	9,67	22 093,76	631345291 	
	2019-08-15	SÅLT	FTR	250	0,74	1 771,33	SEK	9,62	23 877,02	631345211 	
	2019-08-15	SÅLT	FTR	225	0,7350	1 582,51	SEK	9,62	22 105,69	631345209 	
	2019-08-15	SÅLT	FTR	225	0,7275	1 566,25	SEK	9,62	20 523,18	631345208 	
	2019-08-15	SÅLT	FTR	225	0,7274	1 566,06	SEK	9,62	18 956,93	631345207 	
	2019-08-15	KÖPT	TEVA	30	6,13	-1 788,62	SEK	9,68	17 390,87	631342791 	
	2019-08-15	KÖPT	RAD	30	5,3481	-1 558,64	SEK	9,66	19 179,49	631342211 	
	2019-08-15	KÖPT	TEVA	30	6,26	-1 822,90	SEK	9,66	20 738,13	631342052 	
	2019-08-15	SÅLT	MQ	750	2,31	1 728,00	SEK	1,00	22 561,03	631328598 	
	2019-08-15	SÅLT	MQ	750	2,31	1 728,00	SEK	1,00	20 833,03	631282611 	
	2019-08-15	SÅLT	ABB	10	176,30	1 759,00	SEK	1,00	19 105,03	631282600 	
	2019-08-15	SÅLT	MQ	176	2,33	409,00	SEK	1,00	17 346,03	631274606 	
	2019-08-15	SÅLT	MQ	600	2,36	1 412,00	SEK	1,00	16 937,03	631264592 	
	2019-08-14	KÖPT	RAD	30	5,82	-1 694,29	SEK	9,65	15 525,03	631199195 	
	2019-08-14	KÖPT	TEVA	30	6,31	-1 837,83	SEK	9,66	17 219,32	631198550 	
	2019-08-14	KÖPT	TEVA	25	6,36	-1 543,74	SEK	9,65	19 057,15	631197593 	
	2019-08-14	KÖPT	TEVA	25	6,42	-1 558,87	SEK	9,66	20 600,89	631197584 	
	2019-08-14	KÖPT	TEVA	25	6,46	-1 566,34	SEK	9,64	22 159,76	631196632 	
	2019-08-14	KÖPT	RAD	40	6,07	-2 345,88	SEK	9,62	23 726,10	631195535 	
	2019-08-14	KÖPT	FTR	350	0,6750	-2 282,84	SEK	9,62	26 071,98	631195500 	
	2019-08-14	KÖPT	FTR	300	0,70	-2 030,19	SEK	9,62	28 354,82	631195499 	
	2019-08-14	KÖPT	FTR	250	0,71	-1 717,38	SEK	9,62	30 385,01	631195498 	
	2019-08-14	KÖPT	FTR	200	0,7210	-1 396,43	SEK	9,62	32 102,39	631195006 	
	2019-08-14	KÖPT	FTR	200	0,7310	-1 415,68	SEK	9,62	33 498,82	631195005 	
	2019-08-14	KÖPT	FTR	250	0,7415	-1 792,65	SEK	9,62	34 914,50	631194836 	
	2019-08-14	KÖPT	TEVA	25	6,52	-1 578,92	SEK	9,63	36 707,15	631194372 	
	2019-08-14	KÖPT	TEVA	25	6,55	-1 586,14	SEK	9,63	38 286,07	631194371 	
	2019-08-14	KÖPT	TEVA	25	6,62	-1 603,00	SEK	9,63	39 872,21	631194370 	
	2019-08-14	KÖPT	TEVA	25	6,67	-1 615,04	SEK	9,63	41 475,21	631194368 	
	2019-08-14	KÖPT	TEVA	25	6,67	-1 615,04	SEK	9,63	43 090,25	631194367 	
	2019-08-14	KÖPT	TEVA	25	6,72	-1 627,08	SEK	9,63	44 705,29	631194366 	
	2019-08-13	KÖPT	FTR	250	0,7573	-1 818,58	SEK	9,56	46 332,37	631072698 	
	2019-08-13	SÅLT	FTR	250	0,7998	1 893,77	SEK	9,52	48 150,95	631072376 	
	2019-08-13	KÖPT	MQ	10	2,33	-24,00	SEK	1,00	46 257,18	631032595 	
	2019-08-13	KÖPT	MQ	10	2,3450	-24,00	SEK	1,00	46 281,18	631029266 	
	2019-08-13	KÖPT	MQ	10	2,3450	-24,00	SEK	1,00	46 305,18	631026484 	
	2019-08-12	SÅLT	FTR	200	0,7825	1 485,13	SEK	9,55	46 329,18	630961495 	
	2019-08-12	SÅLT	FTR	200	0,7922	1 503,56	SEK	9,55	44 844,05	630961494 	
	2019-08-12	SÅLT	FTR	200	0,79	1 499,52	SEK	9,55	43 340,49	630961245 	
	2019-08-12	SÅLT	FTR	200	0,7790	1 478,51	SEK	9,55	41 840,97	630960977 	
	2019-08-12	SÅLT	FTR	200	0,7752	1 471,26	SEK	9,55	40 362,46	630960976 	
	2019-08-12	KÖPT	FTR	300	0,7250	-2 096,70	SEK	9,60	38 891,20	630960752 	
	2019-08-12	KÖPT	FTR	200	0,76	-1 467,99	SEK	9,60	40 987,90	630960489 	
	2019-08-12	KÖPT	FTR	200	0,7525	-1 453,59	SEK	9,60	42 455,89	630960488 	
	2019-08-12	KÖPT	FTR	250	0,75	-1 807,99	SEK	9,59	43 909,48	630960260 	
	2019-08-12	KÖPT	FTR	200	0,7750	-1 496,76	SEK	9,60	45 717,47	630960259 	
	2019-08-12	KÖPT	FTR	200	0,8050	-1 554,35	SEK	9,60	47 214,23	630959752 	
	2019-08-12	KÖPT	FTR	200	0,8250	-1 592,74	SEK	9,60	48 768,58	630959539 	
	2019-08-09	KÖPT	FTR	100	0,8718	-843,20	SEK	9,57	50 361,32	630862169 	
	2019-08-09	KÖPT	FTR	175	0,8716	-1 468,60	SEK	9,57	51 204,52	630862168 	
	2019-08-09	KÖPT	TEVA	25	7,04	-1 689,82	SEK	9,55	52 673,12	630861017 	
	2019-08-09	KÖPT	MQ	750	2,3050	-1 733,00	SEK	1,00	54 362,94	630846093 	
	2019-08-09	KÖPT	MQ	750	2,3250	-1 748,00	SEK	1,00	56 095,94	630845840 	
	2019-08-08	SÅLT	FTR	175	0,9270	1 542,57	SEK	9,56	57 843,94	630752521 	
	2019-08-08	SÅLT	TEVA	25	7,34	1 744,41	SEK	9,56	56 301,37	630751633 	
	2019-08-08	KÖPT	FTR	200	0,8650	-1 669,96	SEK	9,60	54 556,96	630751039 	
	2019-08-08	KÖPT	FTR	175	0,9150	-1 549,42	SEK	9,62	56 226,92	630750546 	
	2019-08-08	SÅLT	TEVA	25	7,39	1 758,80	SEK	9,57	57 776,34	630749925 	
	2019-08-08	SÅLT	TEVA	25	7,32	1 742,06	SEK	9,57	56 017,54	630749921 	
	2019-08-08	SÅLT	TEVA	25	7,25	1 725,31	SEK	9,57	54 275,48	630749649 	
	2019-08-08	SÅLT	TEVA	25	7,18	1 708,57	SEK	9,57	52 550,17	630749648 	
	2019-08-08	SÅLT	TEVA	25	7,13	1 696,61	SEK	9,57	50 841,60	630749646 	
	2019-08-08	KÖPT	TEVA	25	6,62	-1 602,30	SEK	9,63	49 144,99	630748905 	
	2019-08-08	KÖPT	TEVA	25	6,67	-1 614,34	SEK	9,63	50 747,29	630748904 	
	2019-08-08	KÖPT	TEVA	25	6,72	-1 626,37	SEK	9,63	52 361,63	630748903 	
	2019-08-08	KÖPT	TEVA	25	6,82	-1 650,44	SEK	9,63	53 988,00	630748667 	
	2019-08-07	SÅLT	TEVA	20	7,35	1 403,23	SEK	9,61	55 638,44	630644760 	
	2019-08-07	KÖPT	FTR	200	0,9350	-1 814,52	SEK	9,66	54 235,21	630644715 	
	2019-08-07	SÅLT	RAD	27	6,96	1 795,38	SEK	9,60	56 049,73	630644387 	
